"continent","CountryName","CountryCode"
"Asia","Afghanistan","AFG"
"Europe","Åland Islands","ALA"
"Europe","Albania","ALB"
"Africa","Algeria","DZA"
"Oceania","American Samoa","ASM"
"Europe","Andorra","AND"
"Africa","Angola","AGO"
"Americas","Anguilla","AIA"
NA,"Antarctica","ATA"
"Americas","Antigua & Barbuda","ATG"
"Americas","Argentina","ARG"
"Asia","Armenia","ARM"
"Americas","Aruba","ABW"
"Oceania","Australia","AUS"
"Europe","Austria","AUT"
"Asia","Azerbaijan","AZE"
"Americas","Bahamas","BHS"
"Asia","Bahrain","BHR"
"Asia","Bangladesh","BGD"
"Americas","Barbados","BRB"
"Europe","Belarus","BLR"
"Europe","Belgium","BEL"
"Americas","Belize","BLZ"
"Africa","Benin","BEN"
"Americas","Bermuda","BMU"
"Asia","Bhutan","BTN"
"Americas","Bolivia","BOL"
"Americas","Caribbean Netherlands","BES"
"Europe","Bosnia & Herzegovina","BIH"
"Africa","Botswana","BWA"
NA,"Bouvet Island","BVT"
"Americas","Brazil","BRA"
NA,"British Indian Ocean Territory","IOT"
"Asia","Brunei","BRN"
"Europe","Bulgaria","BGR"
"Africa","Burkina Faso","BFA"
"Africa","Burundi","BDI"
"Africa","Cape Verde","CPV"
"Asia","Cambodia","KHM"
"Africa","Cameroon","CMR"
"Americas","Canada","CAN"
"Americas","Cayman Islands","CYM"
"Africa","Central African Republic","CAF"
"Africa","Chad","TCD"
"Americas","Chile","CHL"
"Asia","China","CHN"
"Oceania","Christmas Island","CXR"
NA,"Cocos (Keeling) Islands","CCK"
"Americas","Colombia","COL"
"Africa","Comoros","COM"
"Africa","Congo - Brazzaville","COG"
"Oceania","Cook Islands","COK"
"Americas","Costa Rica","CRI"
"Africa","Côte d’Ivoire","CIV"
"Europe","Croatia","HRV"
"Americas","Cuba","CUB"
"Americas","Curaçao","CUW"
"Asia","Cyprus","CYP"
"Europe","Czechia","CZE"
"Asia","North Korea","PRK"
"Africa","Congo - Kinshasa","COD"
"Europe","Denmark","DNK"
"Africa","Djibouti","DJI"
"Americas","Dominica","DMA"
"Americas","Dominican Republic","DOM"
"Americas","Ecuador","ECU"
"Africa","Egypt","EGY"
"Americas","El Salvador","SLV"
"Africa","Equatorial Guinea","GNQ"
"Africa","Eritrea","ERI"
"Europe","Estonia","EST"
"Africa","Ethiopia","ETH"
"Americas","Falkland Islands","FLK"
"Europe","Faroe Islands","FRO"
"Oceania","Fiji","FJI"
"Europe","Finland","FIN"
"Europe","France","FRA"
"Americas","French Guiana","GUF"
"Oceania","French Polynesia","PYF"
NA,"French Southern Territories","ATF"
"Africa","Gabon","GAB"
"Africa","Gambia","GMB"
"Asia","Georgia","GEO"
"Europe","Germany","DEU"
"Africa","Ghana","GHA"
"Europe","Gibraltar","GIB"
"Europe","Greece","GRC"
"Americas","Greenland","GRL"
"Americas","Grenada","GRD"
"Americas","Guadeloupe","GLP"
"Oceania","Guam","GUM"
"Americas","Guatemala","GTM"
